pc1,pc2,cluster,title
-0.1313328,-0.10293205,0,HFC Techs
-0.1461196,-0.22197309,0,Data Analytics Engineers
-0.051458858,-0.030793449,0,ETL Data Analysts
-0.09297815,-0.08738464,0,NoSQL Developers
-0.21397077,-0.25308993,0,Data Analytics Consultants
-0.16089574,-0.13326447,0,Lead Data Analysts
-0.08677742,-0.22957191,0,Enterprise Data Architects
-0.1537638,-0.16078319,0,Assistant Vice Presidents of Credit Analyst
-0.08361946,-0.096153945,0,Data Quality Analysts
-0.058270894,0.02060791,0,Data Warehouse ETL Developers
-0.028001934,-0.19989897,0,Business Intelligence Specialists
-0.04350763,-0.16961218,0,Technical Data Analysts
-0.19044696,-0.23578754,0,Healthcare Data Analysts
-0.16089574,-0.13326447,0,Lead Data Analysts
-0.17665517,-0.23954463,0,Oracle Database Analysts
-0.11741185,-0.24192472,0,People Analytics Analysts
-0.2083018,-0.14878346,0,Hadoop Data Engineers
-0.14648554,-0.19846867,0,Data Quality Analysts
-0.060322538,-0.09424045,0,Artificial Intelligence Analysts
-0.1755266,-0.20624426,0,Data Analysts
-0.07636343,-0.27215394,0,Enterprise Data Architects
-0.088690594,-0.037462085,0,Data Governance Analysts
-0.13781632,-0.07910206,0,Data Quality Analysts
-0.289047,-0.22153474,0,Data Quality Analysts
-0.1103767,0.035426594,0,Data Quality Analysts
-0.02096767,-0.12936738,0,Enterprise Sales Engineers
-0.19688629,-0.3259779,0,Data Analytics Engineers
-0.044605933,-0.07087957,0,Enterprise Data Analysts
-0.17457941,-0.121588044,0,Data Analysts
-0.033249326,-0.15164813,0,OFSAA Business Analysts
-0.14260273,-0.22768773,0,Enterprise Architects
-0.27574795,-0.10494503,0,Data Quality Analysts
-0.103104204,-0.26284835,0,Architecture Analysts
-0.09628685,-0.2310328,0,Unclassified
-0.10658106,-0.1973758,0,Enterprise Data Architects
-0.29988855,-0.12457024,0,Data Quality Analysts
-0.14665873,-0.28496313,0,Enterprise Data Architects
-0.24198408,-0.29154402,0,Analytics Engineers
-0.122516766,-0.053799428,0,Vice Presidents of Business Intelligence
-0.2794084,-0.27289346,0,Principal Data Scientists
0.05175586,-0.13007617,0,Data Modelers
-0.04798785,-0.09526862,0,Data Management Specialists
-0.17501135,-0.23152797,0,Data Analysts
-0.15641464,-0.15915039,0,Data Modelers
-0.16089574,-0.13326447,0,Lead Data Analysts
-0.20851524,-0.17085966,0,Business Intelligence Analysts
-0.29840004,-0.06423626,0,Data Analysts
-0.10365626,-0.113548145,0,Master Data Management Analysts
-0.03136956,-0.045474827,0,OFSAA Business Analysts
-0.16339447,-0.08185541,0,Data Analysts
-0.11354098,-0.21826234,0,Data Analyst Consultants
-0.037285,-0.056462064,0,Data Governance Analysts
-0.08785355,-0.17683806,0,Data Engineering Managers
-0.35296112,-0.3818542,0,Data Analytics Product Managers
0.04715173,-0.13234702,0,Transformation Leads
0.024716418,-0.16341697,0,Data Modelers
